x1,x2,x3,x4,x5
202,193,189,185,189
206,189,190,189,202
199,209,195,190,206
198,185,197,190,205
197,185,202,191,195
198,187,197,192,213
197,187,195,193,211
188,190,204,193,193
194,190,202,193,188
213,191,195,195,213
199,191,185,196,197
189,192,197,196,189
185,193,185,200,203
191,194,185,203,199
197,194,188,205,209
192,204,202,205,207
212,205,212,205,198
197,207,215,207,204
199,207,204,209,191
211,208,205,211,206
212,210,208,211,205
214,210,211,212,194
206,211,212,213,195
205,205,195,206,214
